batter,yearID,age_bat,batted_ball_count,avg_launch_speed,avg_launch_angle,hard_hit_rate,avg_estimated_woba,avg_estimated_slg
408314,2017,204.0,134,81.13059701492537,20.791044776119403,0.20149253731343283,0.2780389658119658,0.3858901098901099
408314,2018,245.0,57,84.20526315789473,17.894736842105264,0.2807017543859649,0.2681651923076923,0.4383333333333334
421685,2015,185.0,5,81.42,-27.0,0.4,0.05590909090909091,0.13040000000000002
424144,2016,35.0,4,81.625,18.75,0.0,0.27549999999999997,0.34450000000000003
424325,2015,190.0,21,87.3952380952381,23.285714285714285,0.3333333333333333,0.2705895333333333,0.5842222222222222
424325,2016,234.0,47,81.66170212765957,21.19148936170213,0.19148936170212766,0.26647553488372094,0.4291379310344828
424825,2015,108.0,41,81.92682926829268,15.0,0.14634146341463414,0.19068744,0.2621470588235294
424825,2016,222.0,105,82.03999999999999,17.066666666666666,0.14285714285714285,0.26495896,0.3725753424657534
425496,2015,35.0,9,86.61111111111111,2.5555555555555554,0.3333333333333333,0.37709366666666666,0.5923333333333334
425509,2015,198.0,125,88.5048,13.792,0.344,0.3320827042253521,0.5963203883495145
425509,2016,136.0,72,85.79027777777777,11.722222222222221,0.3611111111111111,0.34943002898550724,0.6434166666666666
425509,2017,70.0,17,79.44117647058823,11.411764705882353,0.35294117647058826,0.2663684210526316,0.5511666666666667
425532,2015,136.0,8,81.55000000000001,-1.0,0.25,0.167,0.3531428571428572
425543,2015,68.0,8,75.75,12.625,0.125,0.23875,0.560875
425549,2015,216.0,49,82.31224489795919,15.489795918367347,0.20408163265306123,0.23658257627118645,0.3902777777777778
425557,2015,102.0,19,82.46315789473684,3.8947368421052633,0.15789473684210525,0.278,0.5497857142857143
425560,2015,216.0,83,88.8710843373494,16.240963855421686,0.3132530120481928,0.3496532641509434,0.6317826086956522
425567,2015,170.0,81,88.5962962962963,16.11111111111111,0.37037037037037035,0.29150570454545455,0.4530298507462686
425664,2015,175.0,35,83.0,15.371428571428572,0.2,0.23448215909090908,0.2823333333333334
425766,2015,155.0,88,86.47500000000001,10.181818181818182,0.2727272727272727,0.3131934893617021,0.4213205128205128
425766,2016,128.0,106,83.05283018867925,13.028301886792454,0.27358490566037735,0.33505851111111107,0.4679295774647887
425772,2015,160.0,22,84.66363636363636,5.2272727272727275,0.3181818181818182,0.28545096666666664,0.38249999999999995
425772,2016,165.0,24,81.65,29.958333333333332,0.25,0.25017391304347825,0.4326470588235294
425772,2017,170.0,42,79.46428571428571,17.476190476190474,0.11904761904761904,0.23331777272727272,0.3507741935483871
425772,2018,210.0,56,80.70357142857142,22.875,0.125,0.2127995918367347,0.3188846153846154
425772,2019,216.0,54,79.80925925925925,17.0,0.12962962962962962,0.16083120370370368,0.3776923076923077
425772,2021,38.0,4,67.0,44.0,0.0,0.1616666666666667,0.22433333333333336
425783,2015,198.0,95,89.56842105263158,10.526315789473685,0.4,0.2868544924242425,0.47801315789473686
425783,2016,102.0,60,86.28666666666666,12.083333333333334,0.4166666666666667,0.3861441549295775,0.6655
425783,2017,210.0,147,82.60000000000001,11.986394557823129,0.25170068027210885,0.3236054027777778,0.5212178217821782
425783,2018,252.0,156,84.14358974358974,15.205128205128204,0.2692307692307692,0.34186816993464053,0.6626562500000001
425783,2019,259.0,140,86.60714285714286,11.764285714285714,0.39285714285714285,0.3234815838926175,0.6471075268817204
425784,2015,192.0,57,85.42807017543859,20.56140350877193,0.3157894736842105,0.24044669333333332,0.4735102040816327
425784,2016,165.0,49,85.40408163265306,13.73469387755102,0.32653061224489793,0.29639882978723403,0.6562222222222223
425784,2017,204.0,63,82.82857142857142,19.793650793650794,0.36507936507936506,0.42131419642857143,0.77515
425784,2018,140.0,28,83.28571428571429,17.821428571428573,0.21428571428571427,0.20260869565217393,0.6068333333333333
425784,2019,72.0,12,80.55833333333334,12.083333333333334,0.25,0.3497295,0.452625
425784,2021,114.0,13,84.4076923076923,13.461538461538462,0.3076923076923077,0.4325755384615384,0.8695
