playerID,nameFirst,nameLast,yearID,age,G,AB,H,2B,3B,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,bats,throws,prev_year,next_year,prev_OPS,next_OPS,prev_OBP,next_OBP,prev_SLG,next_SLG,delta_OPS,delta_OBP,delta_SLG,statcast_age_bat,batted_ball_count,avg_launch_speed,avg_launch_angle,hard_hit_rate,avg_estimated_woba,avg_estimated_slg
urshegi01,Gio,Urshela,2021,30.0,116,420,112,18,2,14,49.0,1.0,20,109.0,0.2666666666666666,0.3009049773755656,0.419047619047619,0.7199525964231847,R,R,,2022.0,,0.7667097746430913,,0.337568058076225,,0.4291417165668663,,,,150.0,152.0,82.3078947368421,19.55263157894737,0.2236842105263158,0.2850662666658296,0.5391384615384615
urshegi01,Gio,Urshela,2022,31.0,144,501,143,27,3,13,64.0,1.0,41,96.0,0.2854291417165668,0.337568058076225,0.4291417165668663,0.7667097746430913,R,R,2021.0,2023.0,0.7199525964231847,0.7027791441219873,0.3009049773755656,0.3289473684210526,0.419047619047619,0.3738317757009345,0.0467571782199066,0.0366630807006594,0.0100940975192472,186.0,161.0,82.89565217391305,18.0,0.2360248447204969,0.3139620579710145,0.543625
urshegi01,Gio,Urshela,2023,32.0,62,214,64,8,1,2,24.0,3.0,10,36.0,0.2990654205607476,0.3289473684210526,0.3738317757009345,0.7027791441219873,R,R,2022.0,2024.0,0.7667097746430913,0.6474451675102435,0.337568058076225,0.2863340563991323,0.4291417165668663,0.3611111111111111,-0.063930630521104,-0.0086206896551723,-0.0553099408659317,96.0,88.0,81.81477272727273,14.875,0.2045454545454545,0.3024804087301587,0.4404772727272727
utleych01,Chase,Utley,2015,37.0,107,373,79,21,2,8,39.0,4.0,32,64.0,0.2117962466487935,0.2860520094562648,0.3431635388739946,0.6292155483302595,L,R,,2016.0,,0.7156333111702128,,0.3191489361702128,,0.396484375,,,,185.0,76.0,85.85789473684211,12.052631578947368,0.3026315789473684,0.261017934065934,0.4071333333333333
utleych01,Chase,Utley,2016,38.0,138,512,129,26,3,14,52.0,2.0,40,115.0,0.251953125,0.3191489361702128,0.396484375,0.7156333111702128,L,R,2015.0,2017.0,0.6292155483302595,0.728394380700206,0.2860520094562648,0.3238636363636363,0.3431635388739946,0.4045307443365696,0.0864177628399532,0.0330969267139479,0.0533208361260053,228.0,133.0,83.71353383458646,11.827067669172932,0.2556390977443609,0.3288086074074074,0.5222307692307693
utleych01,Chase,Utley,2017,39.0,127,309,73,20,4,8,34.0,6.0,32,57.0,0.2362459546925566,0.3238636363636363,0.4045307443365696,0.728394380700206,L,R,2016.0,2018.0,0.7156333111702128,0.6096908830050867,0.3191489361702128,0.3048128342245989,0.396484375,0.3048780487804878,0.0127610695299932,0.0047147001934235,0.0080463693365696,234.0,90.0,81.54,18.788888888888888,0.1222222222222222,0.2686611066666666,0.4358076923076923
valbulu01,Luis,Valbuena,2015,30.0,132,434,97,18,0,25,56.0,1.0,50,106.0,0.2235023041474654,0.3103448275862069,0.4377880184331797,0.7481328460193866,L,R,,2016.0,,0.8158362629813715,,0.3569321533923303,,0.4589041095890411,,,,180.0,86.0,90.46511627906976,16.406976744186046,0.4302325581395348,0.3154195104166666,0.5785517241379311
valbulu01,Luis,Valbuena,2016,31.0,90,292,76,17,1,13,40.0,1.0,44,81.0,0.2602739726027397,0.3569321533923303,0.4589041095890411,0.8158362629813715,L,R,2015.0,2017.0,0.7481328460193866,0.7265409962126383,0.3103448275862069,0.2942643391521197,0.4377880184331797,0.4322766570605187,0.0677034169619849,0.0465873258061234,0.0211160911558613,124.0,101.0,82.77821782178218,15.633663366336634,0.2772277227722772,0.3539286593406593,0.6169032258064516
valbulu01,Luis,Valbuena,2017,32.0,117,347,69,15,0,22,65.0,0.0,48,106.0,0.1988472622478386,0.2942643391521197,0.4322766570605187,0.7265409962126383,L,R,2016.0,2018.0,0.8158362629813715,0.5880586883876358,0.3569321533923303,0.2534722222222222,0.4589041095890411,0.3345864661654135,-0.0892952667687331,-0.0626678142402106,-0.0266274525285223,160.0,117.0,80.50598290598292,20.418803418803417,0.1623931623931624,0.2431661041666666,0.4214
valenda01,Danny,Valencia,2015,31.0,105,345,100,23,1,18,66.0,2.0,29,80.0,0.2898550724637681,0.3448275862068966,0.518840579710145,0.8636681659170415,R,R,,2016.0,,0.7920881124567261,,0.3462282398452611,,0.445859872611465,,,,186.0,69.0,90.75217391304348,3.260869565217391,0.4202898550724637,0.3277047176470588,0.6158148148148148
